timestamp,aqi,pm2_5,pm10,no2,o3,co,so2
2025-01-23 21:48:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:48:48,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:49:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:49:48,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:50:18,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:50:52,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:51:22,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:51:52,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:52:23,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:52:53,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:53:23,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:53:53,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:54:23,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:54:53,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:55:24,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:56:09,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:56:39,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:57:09,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:57:39,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:58:09,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:58:54,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:59:26,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 21:59:56,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:00:26,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:00:56,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:01:26,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:01:56,5,103.81,136.93,19.88,124.45,700.95,70.57
